[11/12/2025, 12:46:13] [PERF] OPTIONS /api/auth/profile | Duration: 15ms | Status: 204
[11/12/2025, 12:52:49] [PERF] GET / | Duration: 191ms | Status: 304
[11/12/2025, 12:52:50] [PERF] GET / | Duration: 219ms | Status: 304
[11/12/2025, 12:52:51] [PERF] OPTIONS /api/tasks | Duration: 0ms | Status: 204
[11/12/2025, 12:52:51] [PERF] OPTIONS /api/tasks/stats | Duration: 1ms | Status: 204
[11/12/2025, 12:52:51] [PERF] OPTIONS /api/tasks | Duration: 1ms | Status: 204
[11/12/2025, 12:52:51] [PERF] OPTIONS /api/tasks/stats | Duration: 1ms | Status: 204
[11/12/2025, 12:52:51] [PERF] GET / | Duration: 267ms | Status: 304
[11/12/2025, 12:52:51] [PERF] GET / | Duration: 382ms | Status: 304
[11/12/2025, 12:52:51] [PERF] GET /stats | Duration: 544ms | Status: 304
[11/12/2025, 12:52:51] [PERF] GET / | Duration: 306ms | Status: 304
[11/12/2025, 12:52:51] [PERF] GET / | Duration: 563ms | Status: 304
[11/12/2025, 12:52:52] [PERF] GET /stats | Duration: 438ms | Status: 304
